Description,Designator,Quantity,Case,Mouser_Part_Number,Tolerance,Value,Manufacturer Part Number,Manufacturer_Part_Number
"Bipolar Transistors - BJT BC847AQA/DFN1010D-3/REEL 7"" Q2","Q11","1","DFN-1010D-3","771-BC847AQAZ","","","","BC847AQAZ"
"Bipolar Transistors - BJT BC847AQA/DFN1010D-3/REEL 7"" Q2","Q10","1","DFN-1010D-3","771-BC847AQAZ","","","","BC847AQAZ"
"Bipolar Transistors - BJT BC847AQA/DFN1010D-3/REEL 7"" Q2","Q9","1","DFN-1010D-3","771-BC847AQAZ","","","","BC847AQAZ"
"Bipolar Transistors - BJT BC847AQA/DFN1010D-3/REEL 7"" Q2","Q8","1","DFN-1010D-3","771-BC847AQAZ","","","","BC847AQAZ"
"Bipolar Transistors - BJT BC847AQA/DFN1010D-3/REEL 7"" Q2","Q7","1","DFN-1010D-3","771-BC847AQAZ","","","","BC847AQAZ"
"Bipolar Transistors - BJT BC847AQA/DFN1010D-3/REEL 7"" Q2","Q6","1","DFN-1010D-3","771-BC847AQAZ","","","","BC847AQAZ"
"Bipolar Transistors - BJT BC847AQA/DFN1010D-3/REEL 7"" Q2","Q5","1","DFN-1010D-3","771-BC847AQAZ","","","","BC847AQAZ"
"Bipolar Transistors - BJT BC847AQA/DFN1010D-3/REEL 7"" Q2","Q4","1","DFN-1010D-3","771-BC847AQAZ","","","","BC847AQAZ"
"Bipolar Transistors - BJT BC847AQA/DFN1010D-3/REEL 7"" Q2","Q3","1","DFN-1010D-3","771-BC847AQAZ","","","","BC847AQAZ"
"Bipolar Transistors - BJT BC847AQA/DFN1010D-3/REEL 7"" Q2","Q2","1","DFN-1010D-3","771-BC847AQAZ","","","","BC847AQAZ"
"Bipolar Transistors - BJT BC847AQA/DFN1010D-3/REEL 7"" Q2","Q1","1","DFN-1010D-3","771-BC847AQAZ","","","","BC847AQAZ"
"Piezo Buzzers & Audio Indicators Piezo Buzzer 9x9mm 4KHz 1.9mm Thickness","PZ1","1","","","","","PKMCS0909E4000-R1",""
"Fixed Inductor","L4","1","0402","81-LQG15HN1N0S02D","0.3 nH","1nH","","LQG15HN1N0S02D"
"Fixed Inductor","L3","1","0402","81-LQG15HN1N0S02D","0.3 nH","1nH","","LQG15HN1N0S02D"
"Fixed Inductors 0.47uH 20% 11.2A 8.36mOhms AEC-Q200","L2","1","XFL4015","994-XFL4015-471MEB","20%","470 nH","","XFL4015-471MEB"
"Fixed Inductors 0.47uH 20% 11.2A 8.36mOhms AEC-Q200","L1","1","XFL4015","994-XFL4015-471MEB","20%","470 nH","","XFL4015-471MEB"
"Headers & Wire Housings BREAKAWAY HDR VERT 6","J3","1","","","","","FTSH-130-01-F-DV",""
"Headers & Wire Housings BREAKAWAY HDR VERT 6","J2","1","","","","","FTSH-130-01-F-DV",""
"Memory Card Connectors TFR READER (HINGE TYPE)","J1","1","","538-47219-2001","","","","47219-2001"
"Ferrite Beads 0603 100ohms 2000mA Auto Infotainment","FB2","1","0603","81-BLM18EG101TZ1D","25%","BLM18EG101TZ1D","","BLM18EG101TZ1D"
"Ferrite Beads 0603 100ohms 2000mA Auto Infotainment","FB1","1","0603","81-BLM18EG101TZ1D","25%","BLM18EG101TZ1D","","BLM18EG101TZ1D"
"Standard LEDs - SMD PICOLEDTM;BLUE LED; 25M @ 5MA","D4","1","0402","755-SMLP13BC8TT86","","","","SMLP13BC8TT86"
"Standard LEDs - SMD PICOLED series Red LED","D3","1","0606 (1616 metric)","","","","150066M153000",""
"Standard LEDs - SMD PICOLED series Red LED","D2","1","0606 (1616 metric)","","","","150066M153000",""
